train_loss,train_acc,val_acc,val_f1,lr,epoch,elapsed_seconds
0.36305909990535484,0.8818683651804671,0.959511077158136,0.9588292778776049,0.0004969220851487835,1,34.17569065093994
0.1047042184661183,0.9682377919320595,0.9717341482047365,0.9715042071959763,0.00048776412907378753,2,68.67935228347778
0.07654092185017046,0.9762208067940552,0.970970206264324,0.9710610534339462,0.00047275163104709125,3,103.01728987693787
0.060174429181801235,0.9823354564755838,0.9770817417876242,0.9769701145657678,0.0004522542485937362,4,137.29867506027222
0.04458692104874543,0.9870912951167728,0.9778456837280367,0.9777404668564937,0.0004267766952966363,5,172.03286051750183
0.035690721487575815,0.988619957537155,0.9770817417876242,0.9769150399368528,0.000396946313073118,6,206.52632927894592
0.025707277429477392,0.991932059447983,0.975553857906799,0.9754968873941653,0.00036349762493488645,7,241.03922963142395
0.022231185319074226,0.9934607218683652,0.9747899159663865,0.9746430339378317,0.0003272542485937365,8,275.6099030971527
0.017208873514628856,0.9938004246284501,0.9793735676088617,0.9793751668216315,0.0002891086162600575,9,310.2140791416168
0.011135183463050887,0.9967728237791932,0.9786096256684492,0.9785868973034667,0.0002499999999999997,10,344.68844723701477
0.012193080938469275,0.996687898089172,0.9763177998472116,0.9764145216271704,0.00021089138373994222,11,379.44349336624146
0.008165104247145,0.9975371549893843,0.9770817417876242,0.9770904584850227,0.00017274575140626306,12,414.9440858364105
0.008309481818445342,0.9973673036093418,0.9801375095492743,0.9800581650063508,0.00013650237506511312,13,449.5677807331085
0.005279887897299689,0.9983014861995754,0.9793735676088617,0.9793871821821404,0.00010305368692688146,14,487.65602135658264
0.002875917206952379,0.9988110403397028,0.9801375095492743,0.9801449362222178,7.322330470336291e-05,15,525.9602434635162
0.0019673358433662897,0.9994055201698514,0.9801375095492743,0.9801322289415066,4.7745751406262994e-05,16,573.4394743442535
0.002984612558461579,0.9987261146496815,0.9809014514896868,0.980874977141568,2.7248368952907967e-05,17,614.5429077148438
0.0038254881850978404,0.9986411889596603,0.9809014514896868,0.980874977141568,1.2235870926211587e-05,18,656.2943105697632
0.0035050141493980923,0.9989808917197452,0.9809014514896868,0.980874977141568,3.0779148512155805e-06,19,700.7128262519836
0.0026027168459341224,0.9993205944798301,0.9809014514896868,0.980874977141568,0.0,20,742.3090250492096
