train_loss,train_acc,val_acc,val_f1,lr,distill_loss,ce_loss,epoch,elapsed_seconds
1.7826862091441518,0.8814437367303609,0.9694423223834988,0.9693380246808013,0.0004969220851487835,2.3654485610516174,0.4229074735086887,1,283.33824586868286
0.4331275974602803,0.969171974522293,0.9694423223834988,0.9692176036450435,0.00048776412907378753,0.5553543380988033,0.1479318892351053,2,555.9503076076508
0.3300149170479373,0.9781740976645436,0.9770817417876242,0.9770210642865061,0.00047275163104709125,0.41969220052756695,0.12076793543082717,3,825.0522804260254
0.2599431195134378,0.9824203821656051,0.970970206264324,0.9707211114085016,0.0004522542485937362,0.3313391225857903,0.093352450582524,4,1068.7754361629486
0.20236486749237645,0.9868365180467091,0.970970206264324,0.9709487680810519,0.0004267766952966363,0.25934571625016956,0.06940956050327615,5,1313.0248367786407
0.16688884756244396,0.9887898089171975,0.970970206264324,0.9709080730173099,0.000396946313073118,0.21387112853319748,0.057263531547347236,6,1557.658008813858
0.13372746642436023,0.9921019108280255,0.972498090145149,0.9721880586912712,0.00036349762493488645,0.17187023002897267,0.04472768956427741,7,1810.4045343399048
0.11881881732615115,0.9929511677282378,0.975553857906799,0.9751970657315815,0.0003272542485937365,0.1531246291352031,0.03877193033021404,8,2069.509638786316
0.09732473792467752,0.9947346072186837,0.9770817417876242,0.9770313570058103,0.0002891086162600575,0.12653183497731452,0.029174847096367994,9,2342.257268190384
0.08261630680088115,0.9954140127388535,0.9778456837280367,0.9777878324687274,0.0002499999999999997,0.1075819155363285,0.02436322257594641,10,2598.06018614769
0.0806540105410892,0.9956687898089172,0.9786096256684492,0.9785558933477689,0.00021089138373994222,0.10438089335904173,0.02529128846894626,11,2851.460283279419
0.06349267638490899,0.9970276008492569,0.9770817417876242,0.9769530346976796,0.00017274575140626306,0.08371128467842937,0.016315927902526353,12,3110.7917110919952
0.05811493566421711,0.9975371549893843,0.9793735676088617,0.9792487755715079,0.00013650237506511312,0.07667451384274857,0.014809254559583243,13,3349.788353919983
0.05262211393362478,0.9979617834394905,0.9770817417876242,0.9770384309903536,0.00010305368692688146,0.06965465249453226,0.012879527085201318,14,3558.827764749527
0.04782038408776988,0.9983864118895966,0.9786096256684492,0.9785551857536443,7.322330470336291e-05,0.06411181928832894,0.009807036699108405,15,3757.8515779972076
0.05144679378313215,0.9976220806794055,0.9793735676088617,0.9793172032635463,4.7745751406262994e-05,0.06817161923517352,0.012422203048038722,16,3956.3004500865936
0.04935825185890755,0.9979617834394905,0.9793735676088617,0.9793172032635463,2.7248368952907967e-05,0.06557441742726318,0.011520534110509881,17,4155.939351558685
0.04248779224555777,0.9985562632696391,0.9793735676088617,0.9793172032635463,1.2235870926211587e-05,0.05690606511400446,0.008845157537507475,18,4354.66483092308
0.04075140223595435,0.998895966029724,0.9786096256684492,0.9785722274855296,3.0779148512155805e-06,0.054999543647484286,0.007505741367071017,19,4555.099825382233
0.042862705471318055,0.9983014861995754,0.9786096256684492,0.9785722274855296,0.0,0.057574152308718665,0.008535998796777794,20,4772.719161748886
